date,quantity,unit_price,shipment_price,total_price,status,quarter,month,year,category,product,customer,city,state,postal_code,country,region,dealsize
2003-10-14 02:40:00,30,95.7,0.0,2871.0,Shipped,1,10,2003,Motorcycles,S10_1678,Land of Toys Inc.,NYC,NY,10022,USA,NA,Small
2003-05-21 21:50:00,34,81.35,0.0,2765.9,Shipped,2,5,2003,Motorcycles,S10_1678,Reims Collectables,Reims,,51100,France,EMEA,Small
2003-05-14 18:10:00,41,94.74,0.0,3884.34,Shipped,3,5,2003,Motorcycles,S10_1678,Lyon Souveniers,Paris,,75508,France,EMEA,Medium
2003-09-20 03:35:00,45,83.26,0.0,3746.7,Shipped,3,9,2003,Motorcycles,S10_1678,Toys4GrownUps.com,Pasadena,CA,90003,USA,NA,Medium
2003-08-13 05:45:00,49,100.0,305.27,5205.27,Shipped,4,8,2003,Motorcycles,S10_1678,Corporate Gift Ideas Co.,San Francisco,CA,,USA,NA,Medium
2003-02-23 15:30:00,36,96.66,0.0,3479.76,Shipped,4,2,2003,Motorcycles,S10_1678,Technics Stores Inc.,Burlingame,CA,94217,USA,NA,Medium
2003-04-07 22:05:00,29,86.13,0.0,2497.77,Shipped,4,4,2003,Motorcycles,S10_1678,Daedalus Designs Imports,Lille,,59000,France,EMEA,Small
2003-02-20 01:40:00,48,100.0,712.32,5512.32,Shipped,4,2,2003,Motorcycles,S10_1678,Herkku Gifts,Bergen,,N 5804,Norway,EMEA,Medium
2003-07-28 20:40:00,22,98.57,0.0,2168.54,Shipped,4,7,2003,Motorcycles,S10_1678,Mini Wheels Co.,San Francisco,CA,,USA,NA,Small
2004-05-17 01:00:00,41,100.0,608.44,4708.44,Shipped,1,5,2004,Motorcycles,S10_1678,Auto Canal Petit,Paris,,75016,France,EMEA,Medium
2004-09-28 15:30:00,37,100.0,265.66,3965.66,Shipped,1,9,2004,Motorcycles,S10_1678,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,APAC,Medium
2004-11-04 18:00:00,23,100.0,33.12,2333.12,Shipped,2,11,2004,Motorcycles,S10_1678,Vitachrome Inc.,NYC,NY,10022,USA,NA,Small
2004-11-12 21:00:00,28,100.0,388.64,3188.64,Shipped,2,11,2004,Motorcycles,S10_1678,Tekni Collectables Inc.,Newark,NJ,94019,USA,NA,Medium
2004-04-10 11:30:00,34,100.0,276.76,3676.76,Shipped,2,4,2004,Motorcycles,S10_1678,Gift Depot Inc.,Bridgewater,CT,97562,USA,NA,Medium
2004-11-15 07:30:00,45,92.83,0.0,4177.35,Shipped,3,11,2004,Motorcycles,S10_1678,La Rochelle Gifts,Nantes,,44000,France,EMEA,Medium
2004-05-05 03:00:00,36,100.0,499.68,4099.68,Shipped,3,5,2004,Motorcycles,S10_1678,Marta's Replicas Co.,Cambridge,MA,51247,USA,NA,Medium
